id,label,pred,proba,error,kind,demographic_restriction,severity_restriction,negation_in_protocol,missing_sex_field,missing_age_field,missing_icd_field,annotation_ambiguous,rare_guideline,protocol_len,missing_structured_fields
526,1,1,0.7639428872278361,False,correct,False,False,True,False,False,False,False,False,11283,False
314,1,1,0.9433992078990304,False,correct,False,True,True,False,False,False,False,False,2131,False
672,1,1,0.5072221504049487,False,correct,False,False,True,False,False,False,False,False,12676,False
707,1,1,0.5834466918520911,False,correct,True,False,True,False,False,False,False,False,9828,False
665,1,1,0.7337553502800983,False,correct,False,False,True,False,False,False,False,False,9107,False
346,0,0,0.0281005817937803,False,correct,False,False,True,False,False,False,False,False,1975,False
213,1,1,0.9378160756760814,False,correct,False,False,True,True,True,True,False,False,4529,True
509,0,0,0.3838844962129947,False,correct,False,False,True,False,False,False,False,False,2390,False
559,1,1,0.8934021838352179,False,correct,False,False,True,False,False,False,False,False,32765,False
321,0,0,0.0033630012434403,False,correct,True,False,True,False,False,False,False,False,5019,False
49,1,1,0.9727959270175456,False,correct,False,False,True,True,True,True,False,False,3953,True
112,1,0,0.2308256894340682,True,FN,False,False,True,True,True,True,False,False,4507,True
338,1,1,0.5396045811707875,False,correct,False,True,True,False,False,False,False,False,3640,False
447,0,0,0.0300616027181348,False,correct,False,False,True,False,False,False,False,False,4391,False
554,0,0,0.0028461309833856,False,correct,True,False,True,False,False,False,False,False,5079,False
643,1,1,0.9143209432555504,False,correct,False,True,True,False,False,False,False,False,5606,False
703,0,0,0.0499108733065778,False,correct,False,False,True,False,False,False,False,False,6290,False
578,0,0,0.0032519816298231,False,correct,True,False,True,False,False,False,False,False,6231,False
527,0,0,0.0261012318559044,False,correct,False,False,True,False,False,False,False,False,2049,False
790,0,0,0.1046945933630818,False,correct,False,False,True,False,False,False,False,False,26986,False
192,1,1,0.9454355479908356,False,correct,False,False,True,True,True,True,False,False,4634,True
583,1,1,0.9083802612857942,False,correct,False,False,True,False,False,False,False,False,32765,False
580,1,0,0.1951134560503002,True,FN,False,False,True,False,False,False,False,False,6673,False
448,0,0,0.0035338679134405,False,correct,True,False,True,False,False,False,False,False,4391,False
784,1,1,0.6855607901105751,False,correct,False,False,True,False,False,False,False,False,26986,False
