stage,id,production_prediction,llm_prediction,llm_confidence,structured_fields_or_title,llm_reasoning,active_contradiction_features
1,983,General,Special,0.95,## Беременные,"The subsection title 'Беременные' specifies a particular patient group (pregnant women), indicating that the treatment principles are intended for this specific subgroup.",
1,582,General,Special,0.95,## Хирургическое лечение,"The title specifies 'Возрастная категория: Дети' which indicates that the subsection is focused on treatment for a specific age group, namely children, making it a Special classification.",
1,688,General,Special,0.95,"## Радиойодтерапия, радиойодаблация","The title specifies 'Возрастная категория: Дети' which indicates that the subsection is focused on treatment for a specific age group, thus classifying it as Special.",
1,2170,General,Special,0.95,### Медикаментозная и нутритивная поддержка в периоперационный период,"The title specifies 'Дети' (Children), indicating that the subsection is focused on a specific patient group, which classifies it as Special.",
1,1906,General,Special,0.95,"## Пациенты моложе 65 лет с сохранным соматическим статусом, являющиеся кандидатами для проведения высокодозной терапии, первая линия терапии","The subsection title specifies a particular age group (patients younger than 65 years) and a specific treatment context (candidates for high-dose therapy), indicating it is intended for a specific patient population.",
1,1914,General,Special,0.95,## Консервативное лечение,"The title specifies 'Возрастная категория: Дети' which indicates that the subsection is focused on treatment for a specific age group, thus classifying it as Special.",
1,812,General,Special,0.95,## Хирургическое лечение,"The title specifies 'Возрастная категория: Дети' which indicates that the subsection is focused on treatment for a specific age group, thus classifying it as Special.",
1,769,General,Special,0.95,## Аллогенная трансплантация гемопоэтических клеток от HLA-геноидентичного донора,"The title specifies 'Возрастная категория: Дети' which indicates that the treatment section is specifically for children, making it a special population.",
1,1605,General,Special,0.95,## Хирургическое лечение стриктуры уретры,"The title specifies that it pertains to 'children' and discusses surgical treatment for urethral stricture, indicating it is intended for a specific patient group.",
1,1645,General,Special,0.95,## Лечение детей с гепатобластомой группы очень высокого риска (см. Приложение Б),"The subsection title specifies 'children' and 'very high-risk group', indicating it is focused on a specific patient population rather than a general treatment approach.",
2,576,Not Applicable,Applicable,0.9,## Эндометриоз в постменопаузе,"The patient is female and 44 years old, which does not contradict the guideline's applicability for adults, and there is no indication that she is postmenopausal.","gender_condition_present,condition_unknown"
2,372,Not Applicable,Applicable,0.9,## Эндометриоз и рак,"The patient is female and 43 years old, which fits the title's gender condition and does not contradict the age condition.","gender_condition_present,condition_unknown"
2,188,Not Applicable,Applicable,0.9,### Рекомендации по начальному лечению пациентов с хронической сердечной недостаточностью и фибрилляцией предсердий с высокой частотой желудочковых со,"The patient is 64 years old, which fits within the adult age category for chronic heart failure, and there is no direct contradiction in the provided structured facts.",condition_overlap
2,328,Not Applicable,Applicable,0.9,### Особенности лечения пациентов с хронической сердечной недостаточностью и фибрилляцией предсердий,"The patient is 79 years old, which falls within the adult age category, and there is no contradiction with the diagnosis of chronic heart failure (I50.0).",condition_unknown
2,506,Not Applicable,Applicable,0.9,### БК тонкой кишки (кроме терминального илеита),"The patient is 27 years old, which falls within the adult age category, and the diagnosis of Crohn's disease (K50.1) aligns with the guideline's focus on conservative treatment for Crohn's disease of the small intestine.",condition_overlap
2,135,Not Applicable,Applicable,0.9,### Эрадикационная терапия инфекции H. рylori,"The patient's age is 20 years, which falls within the adult category, and there are no contradictions in the structured fields.","condition_overlap,condition_contradiction,contradiction_count,contradiction_density"
2,392,Not Applicable,Applicable,0.9,### Лечение БК с перианальными проявлениями (перианальная БК),"The patient is 23 years old, which falls within the adult age category, and the diagnosis code K50.1 indicates Crohn's disease, which aligns with the guideline's focus on surgical treatment for perianal manifestations.",condition_unknown
2,358,Not Applicable,Applicable,0.9,### Рекомендации по начальному лечению пациентов с хронической сердечной недостаточностью и фибрилляцией предсердий с высокой частотой желудочковых со,"The patient is 79 years old, which falls within the adult age category, and there is no contradiction with the diagnosis of chronic heart failure (I50.0).",condition_unknown
2,406,Not Applicable,Applicable,0.9,### Профилактика фибрилляции предсердий у пациентов с хронической сердечной недостаточностью,"The patient is 79 years old, which falls within the adult age category, and there is no contradiction with the diagnosis of chronic heart failure (I50.0).",condition_unknown
2,570,Not Applicable,Applicable,0.9,### БК тонкой кишки (кроме терминального илеита),"The patient is 23 years old, which falls within the adult age category specified in the guideline, and there is no contradiction with the diagnosis of Crohn's disease (K50.1).",condition_unknown
