feature,coefficient,abs_coefficient,category
title_tfidf__особенность,-1.5688749078641944,1.5688749078641944,lexical
title_tfidf__предсердие,-1.3133701041364414,1.3133701041364414,lexical
title_tfidf__фибрилляция,-1.3133701041364414,1.3133701041364414,lexical
title_tfidf__особый,1.1546786832220493,1.1546786832220493,lexical
title_tfidf__группа,1.1546786832220493,1.1546786832220493,lexical
title_tfidf__хсн,1.1204439009562805,1.1204439009562805,lexical
title_tfidf__желудочковый,-1.0929398677594282,1.0929398677594282,lexical
h8_numeric__severity_unknown,1.0916912200189435,1.0916912200189435,contradiction
title_tfidf__снизить,1.0502294528509686,1.0502294528509686,lexical
title_tfidf__сочетать,0.9353240633818937,0.9353240633818937,lexical
title_tfidf__патология,0.9353240633818937,0.9353240633818937,lexical
title_tfidf__ритм,-0.8588477526418967,0.8588477526418967,lexical
title_tfidf__профилактика,0.7889039245030351,0.7889039245030351,lexical
title_tfidf__лж,0.7816157280558255,0.7816157280558255,lexical
title_tfidf__сохранить,0.7816157280558255,0.7816157280558255,lexical
title_tfidf__умеренно,0.7816157280558255,0.7816157280558255,lexical
title_tfidf__фв,0.7816157280558255,0.7816157280558255,lexical
title_tfidf__эндоскопический,-0.7640148768000379,0.7640148768000379,lexical
title_tfidf__начальный,-0.7511944812955463,0.7511944812955463,lexical
title_tfidf__высокий,-0.7511944812955463,0.7511944812955463,lexical
title_tfidf__частота,-0.7511944812955463,0.7511944812955463,lexical
title_tfidf__сокращение,-0.7511944812955463,0.7511944812955463,lexical
title_tfidf__острый,-0.730759813442124,0.730759813442124,lexical
title_tfidf__форма,0.7303062303819013,0.7303062303819013,lexical
title_tfidf__илеоколит,0.7303062303819013,0.7303062303819013,lexical
narrative_tfidf__чд,-0.7248067486292799,0.7248067486292799,lexical
title_tfidf__тонкий,-0.6865690687620548,0.6865690687620548,lexical
title_tfidf__кроме,-0.6865690687620548,0.6865690687620548,lexical
numeric__negation_count,-0.6862449849418103,0.6862449849418103,negation
h8_numeric__gender_condition_present,-0.6627078316296087,0.6627078316296087,contradiction
title_tfidf__тяжесть,0.6460605347814898,0.6460605347814898,lexical
title_tfidf__средний,0.6460605347814898,0.6460605347814898,lexical
numeric__protocol_len,0.6319128621945529,0.6319128621945529,long protocol
title_tfidf__лёгкий,-0.6098917700509353,0.6098917700509353,lexical
narrative_tfidf__умеренно,0.5984877951980311,0.5984877951980311,lexical
narrative_tfidf__безболезненный,-0.5903793644285578,0.5903793644285578,lexical
narrative_tfidf__эпигастральный,0.5807432604720418,0.5807432604720418,lexical
title_tfidf__рекомендовать,0.5794049181044317,0.5794049181044317,lexical
title_tfidf__выброс,0.5794049181044317,0.5794049181044317,lexical
title_tfidf__фракция,0.5794049181044317,0.5794049181044317,lexical
title_tfidf__отдел,-0.5647235397518179,0.5647235397518179,lexical
title_tfidf__хирургический,0.5616977228440713,0.5616977228440713,lexical
title_tfidf__пациент,0.5614762324009481,0.5614762324009481,lexical
title_tfidf__нарушение,-0.5456650781114325,0.5456650781114325,lexical
title_tfidf__сердце,-0.5456650781114325,0.5456650781114325,lexical
narrative_tfidf__гипотиреоз,0.5194589791141827,0.5194589791141827,lexical
narrative_tfidf__жир,-0.5162912904966865,0.5162912904966865,lexical
narrative_tfidf__мг,0.506347926713522,0.506347926713522,lexical
title_tfidf__терапия,0.5044702151670784,0.5044702151670784,lexical
narrative_tfidf__артериальный,0.5028162073650804,0.5028162073650804,lexical
narrative_tfidf__пальпироваться,0.4960536354400918,0.4960536354400918,lexical
title_tfidf__пункционный,-0.49353044195063617,0.49353044195063617,lexical
title_tfidf__позвоночник,-0.49353044195063617,0.49353044195063617,lexical
h8_numeric__severity_contradiction,0.4910410293708462,0.4910410293708462,contradiction
title_tfidf__ситуация,-0.4788508248208918,0.4788508248208918,lexical
title_tfidf__желчнокаменный,0.47369164769288497,0.47369164769288497,lexical
title_tfidf__отсутствие,-0.4736320109504817,0.4736320109504817,negation
title_tfidf__декомпенсация,-0.4736320109504817,0.4736320109504817,lexical
title_tfidf__контроль,-0.4736320109504817,0.4736320109504817,lexical
