feature,coefficient,abs_coefficient,category
title_tfidf__особенность,-1.7249079237493454,1.7249079237493454,lexical
title_tfidf__средний,1.5740660273058065,1.5740660273058065,lexical
title_tfidf__тяжесть,1.5740660273058065,1.5740660273058065,lexical
title_tfidf__эндометриоз,-1.4278655395744573,1.4278655395744573,lexical
title_tfidf__фибрилляция,-1.3349064609583732,1.3349064609583732,lexical
title_tfidf__предсердие,-1.3349064609583732,1.3349064609583732,lexical
title_tfidf__локализация,1.2080119615533103,1.2080119615533103,lexical
title_tfidf__ребёнок,-1.098785821621527,1.098785821621527,lexical
title_tfidf__желудочковый,-1.0980831228929362,1.0980831228929362,lexical
title_tfidf__хсн,1.0945379322225166,1.0945379322225166,lexical
title_tfidf__тонкий,-1.0815284704601638,1.0815284704601638,lexical
title_tfidf__кроме,-1.0815284704601638,1.0815284704601638,lexical
title_tfidf__особый,1.0724653498259373,1.0724653498259373,lexical
title_tfidf__группа,1.0724653498259373,1.0724653498259373,lexical
title_tfidf__снизить,1.0291270986835965,1.0291270986835965,lexical
title_tfidf__толстой,0.9320329575800326,0.9320329575800326,lexical
title_tfidf__сочетать,0.9218091823517356,0.9218091823517356,lexical
title_tfidf__патология,0.9218091823517356,0.9218091823517356,clinical terms
title_tfidf__консервативный,0.9054884981350612,0.9054884981350612,lexical
title_tfidf__ритм,-0.8795106600794584,0.8795106600794584,lexical
title_tfidf__тяжёлый,0.8697300794143545,0.8697300794143545,lexical
title_tfidf__любой,0.8697300794143545,0.8697300794143545,lexical
title_tfidf__течение,0.8697300794143545,0.8697300794143545,lexical
title_tfidf__активный,0.8697300794143545,0.8697300794143545,lexical
narrative_tfidf__безболезненный,-0.8678795757150538,0.8678795757150538,lexical
title_tfidf__болезнь,0.801009946040978,0.801009946040978,lexical
title_tfidf__профилактика,0.7891401258071612,0.7891401258071612,lexical
title_tfidf__перианальный,-0.768966599484862,0.768966599484862,lexical
title_tfidf__фв,0.760321792508328,0.760321792508328,lexical
title_tfidf__сохранить,0.760321792508328,0.760321792508328,lexical
title_tfidf__умеренно,0.760321792508328,0.760321792508328,lexical
title_tfidf__лж,0.760321792508328,0.760321792508328,lexical
title_tfidf__отдел,-0.7592609939965492,0.7592609939965492,lexical
title_tfidf__частота,-0.7438557120811762,0.7438557120811762,lexical
title_tfidf__высокий,-0.7438557120811762,0.7438557120811762,lexical
title_tfidf__сокращение,-0.7438557120811762,0.7438557120811762,lexical
title_tfidf__начальный,-0.7438557120811762,0.7438557120811762,lexical
title_tfidf__острый,-0.7421187699483313,0.7421187699483313,lexical
title_tfidf__эндоскопический,-0.7034681545682173,0.7034681545682173,lexical
narrative_tfidf__чд,-0.6996113858386475,0.6996113858386475,lexical
numeric__negation_count,-0.6894246875804485,0.6894246875804485,negation
narrative_tfidf__умеренно,0.6581148519455504,0.6581148519455504,lexical
narrative_tfidf__эпигастральный,0.630100330447062,0.630100330447062,lexical
title_tfidf__илеоцекальный,0.6202869578655463,0.6202869578655463,lexical
title_tfidf__верхний,-0.6196776608356901,0.6196776608356901,lexical
title_tfidf__поражение,-0.6196776608356901,0.6196776608356901,lexical
title_tfidf__жкт,-0.6196776608356901,0.6196776608356901,lexical
title_tfidf__форма,0.6096499822274185,0.6096499822274185,lexical
title_tfidf__илеоколит,0.6096499822274185,0.6096499822274185,lexical
title_tfidf__лёгкий,0.6088602470740387,0.6088602470740387,lexical
title_tfidf__крона,0.5966498387184793,0.5966498387184793,lexical
title_tfidf__рекомендовать,0.571879622263469,0.571879622263469,lexical
title_tfidf__фракция,0.571879622263469,0.571879622263469,lexical
title_tfidf__выброс,0.571879622263469,0.571879622263469,lexical
title_tfidf__лечение,0.5685766075036007,0.5685766075036007,clinical terms
title_tfidf__нарушение,-0.5590079874617134,0.5590079874617134,lexical
title_tfidf__сердце,-0.5590079874617134,0.5590079874617134,lexical
numeric__protocol_len,0.550248784540938,0.550248784540938,protocol length
title_tfidf__терапия,0.5386656366624922,0.5386656366624922,clinical terms
narrative_tfidf__жир,-0.5355829948021171,0.5355829948021171,lexical
narrative_tfidf__пальпироваться,0.533686175383167,0.533686175383167,lexical
narrative_tfidf__артериальный,0.5229137189241306,0.5229137189241306,lexical
narrative_tfidf__выделение,-0.5072231509614347,0.5072231509614347,lexical
narrative_tfidf__мг,0.5033739108567717,0.5033739108567717,lexical
narrative_tfidf__гипотиреоз,0.49064148605366475,0.49064148605366475,lexical
title_tfidf__контроль,-0.48481223895239733,0.48481223895239733,lexical
title_tfidf__декомпенсация,-0.48481223895239733,0.48481223895239733,lexical
title_tfidf__отсутствие,-0.48481223895239733,0.48481223895239733,negation
title_tfidf__систолический,-0.48481223895239733,0.48481223895239733,lexical
title_tfidf__пациент,0.4845621323760314,0.4845621323760314,lexical
title_tfidf__доказать,-0.47979069584327977,0.47979069584327977,lexical
title_tfidf__эффект,-0.47979069584327977,0.47979069584327977,lexical
title_tfidf__положительный,-0.47979069584327977,0.47979069584327977,lexical
